movement_month,reference,description,color_normalized,product_key,opening_balance,opening_stock_qty,imports_qty,sales_qty,returns_adjustments_qty,other_qty_in,other_qty_out,net_change,closing_balance,calculated_closing_balance,has_negative_closing_balance,has_month_movement,movement_rows,first_movement_month,last_movement_month
2026-06,010101,PERUANA 200 GR,ARENA,010101|ARENA,3464.8799999999997,0.0,0.0,297.95,0.0,0.0,0.0,-297.95,3166.93,3166.93,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,819.09,0.0,0.0,231.35,0.0,0.0,0.0,-231.35,587.74,587.74,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,4510.58,0.0,0.0,432.85,0.0,0.0,0.0,-432.85,4077.7300000000005,4077.73,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,505.45000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.45000000000005,505.45000000000005,False,False,0.0,2025-12,2026-04
2026-06,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2162.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.65,2162.65,False,False,0.0,2025-12,2026-05
2026-06,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,2471.2200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471.2200000000003,2471.2200000000003,False,False,0.0,2025-12,2026-04
2026-06,010101,PERUANA 200 GR,COLONIAL BLUE,010101|COLONIAL BLUE,1227.4,0.0,0.0,19.6,0.0,0.0,0.0,-19.6,1207.8000000000002,1207.8000000000002,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,INDIGO,010101|INDIGO,846.82,0.0,0.0,17.8,0.0,0.0,0.0,-17.8,829.02,829.0200000000001,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,IVORY,010101|IVORY,3719.75,0.0,0.0,632.62,0.0,0.0,0.0,-632.62,3087.13,3087.13,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,JASPE CLARO,010101|JASPE CLARO,557.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.9,557.9,False,False,0.0,2025-12,2025-12
2026-06,010101,PERUANA 200 GR,JASPE OSCURO,010101|JASPE OSCURO,362.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.68,362.68,False,False,0.0,2025-12,2026-03
2026-06,010101,PERUANA 200 GR,KAKY,010101|KAKY,2227.5,0.0,0.0,330.8,0.0,0.0,0.0,-330.8,1896.7,1896.7,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,LILA,010101|LILA,62.499999999999986,0.0,0.0,41.3,0.0,0.0,0.0,-41.3,21.19999999999999,21.19999999999999,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,NEGRO,010101|NEGRO,4505.6500000000015,0.0,0.0,2520.31,0.0,0.0,0.0,-2520.31,1985.3400000000015,1985.3400000000015,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,PAPRIKA,010101|PAPRIKA,24.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.099999999999994,24.099999999999994,False,False,0.0,2025-12,2026-03
2026-06,010101,PERUANA 200 GR,RATA,010101|RATA,1876.8200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876.8200000000002,1876.8200000000002,False,False,0.0,2025-12,2026-05
2026-06,010101,PERUANA 200 GR,ROJO,010101|ROJO,896.6099999999999,0.0,0.0,191.33,0.0,0.0,0.0,-191.33,705.2799999999999,705.2799999999999,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,ROSADO,010101|ROSADO,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,17.6,False,False,0.0,2025-12,2025-12
2026-06,010101,PERUANA 200 GR,ROSADO VIVO,010101|ROSADO VIVO,316.1,0.0,0.0,42.3,0.0,0.0,0.0,-42.3,273.80000000000007,273.8,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,ROSE,010101|ROSE,76.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.41,76.41,False,False,0.0,2025-12,2026-05
2026-06,010101,PERUANA 200 GR,TOFFE,010101|TOFFE,981.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.32,981.32,False,False,0.0,2025-12,2026-03
2026-06,010101,PERUANA 200 GR,TURQUI,010101|TURQUI,-4.263256414560601e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.263256414560601e-14,-4.263256414560601e-14,False,False,0.0,2025-12,2026-04
2026-06,010101,PERUANA 200 GR,VERDE BOTELLA,010101|VERDE BOTELLA,0.0,0.0,0.0,137.3,0.0,0.0,0.0,-137.3,-137.3,-137.3,True,True,1.0,2025-12,2026-06
2026-06,010102,PERUANA 250 GR,ARENA,010102|ARENA,4951.1900000000005,0.0,0.0,107.22,0.0,0.0,0.0,-107.22,4843.97,4843.97,False,True,1.0,2025-12,2026-06
2026-06,010102,PERUANA 250 GR,AZUL M,010102|AZUL M,990.81,0.0,0.0,99.2,0.0,0.0,0.0,-99.2,891.6099999999999,891.6099999999999,False,True,1.0,2025-12,2026-06
