movement_month,reference,description,color_normalized,product_key,opening_balance,opening_stock_qty,imports_qty,sales_qty,returns_adjustments_qty,other_qty_in,other_qty_out,net_change,closing_balance,calculated_closing_balance,has_negative_closing_balance,has_month_movement,movement_rows,first_movement_month,last_movement_month
2025-12,010101,PERUANA 200 GR,ARENA,010101|ARENA,0.0,4195.07,0.0,0.0,0.0,0.0,0.0,4195.07,4195.07,4195.07,False,True,221.0,2025-12,2026-06
2026-01,010101,PERUANA 200 GR,ARENA,010101|ARENA,4195.07,0.0,0.0,117.74,0.0,0.0,0.0,-117.74,4077.33,4077.33,False,True,1.0,2025-12,2026-06
2026-02,010101,PERUANA 200 GR,ARENA,010101|ARENA,4077.33,0.0,0.0,201.05,0.0,0.0,0.0,-201.05,3876.2799999999997,3876.2799999999997,False,True,1.0,2025-12,2026-06
2026-03,010101,PERUANA 200 GR,ARENA,010101|ARENA,3876.2799999999997,0.0,0.0,278.0,0.0,0.0,0.0,-278.0,3598.2799999999997,3598.2799999999997,False,True,1.0,2025-12,2026-06
2026-04,010101,PERUANA 200 GR,ARENA,010101|ARENA,3598.2799999999997,0.0,0.0,41.6,0.0,0.0,0.0,-41.6,3556.68,3556.68,False,True,1.0,2025-12,2026-06
2026-05,010101,PERUANA 200 GR,ARENA,010101|ARENA,3556.68,0.0,0.0,91.8,0.0,0.0,0.0,-91.8,3464.8799999999997,3464.8799999999997,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,ARENA,010101|ARENA,3464.8799999999997,0.0,0.0,297.95,0.0,0.0,0.0,-297.95,3166.93,3166.93,False,True,1.0,2025-12,2026-06
2025-12,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,0.0,758.95,0.0,0.0,0.0,0.0,0.0,758.95,758.95,758.95,False,True,41.0,2025-12,2026-06
2026-01,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,758.95,0.0,0.0,104.6,0.0,0.0,0.0,-104.6,654.35,654.35,False,True,1.0,2025-12,2026-06
2026-02,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,654.35,0.0,447.4,75.48,0.0,0.0,0.0,371.91999999999996,1026.27,1026.27,False,True,24.0,2025-12,2026-06
2026-03,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,1026.27,0.0,0.0,73.74,0.0,0.0,0.0,-73.74,952.53,952.53,False,True,1.0,2025-12,2026-06
2026-04,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,952.53,0.0,0.0,96.05,0.0,0.0,0.0,-96.05,856.48,856.48,False,True,1.0,2025-12,2026-06
2026-05,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,856.48,0.0,0.0,37.39,0.0,0.0,0.0,-37.39,819.09,819.09,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,819.09,0.0,0.0,231.35,0.0,0.0,0.0,-231.35,587.74,587.74,False,True,1.0,2025-12,2026-06
2025-12,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,0.0,6375.93,0.0,0.0,0.0,0.0,0.0,6375.93,6375.93,6375.93,False,True,333.0,2025-12,2026-06
2026-01,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,6375.93,0.0,0.0,322.45,0.0,0.0,0.0,-322.45,6053.4800000000005,6053.4800000000005,False,True,1.0,2025-12,2026-06
2026-02,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,6053.4800000000005,0.0,929.1,601.3,0.0,0.0,0.0,327.80000000000007,6381.280000000001,6381.280000000001,False,True,47.0,2025-12,2026-06
2026-03,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,6381.280000000001,0.0,0.0,200.3,0.0,0.0,0.0,-200.3,6180.9800000000005,6180.9800000000005,False,True,1.0,2025-12,2026-06
2026-04,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,6180.9800000000005,0.0,0.0,480.2,0.0,0.0,0.0,-480.2,5700.780000000001,5700.780000000001,False,True,1.0,2025-12,2026-06
2026-05,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,5700.780000000001,0.0,0.0,1190.2,0.0,0.0,0.0,-1190.2,4510.58,4510.580000000001,False,True,1.0,2025-12,2026-06
2026-06,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,4510.58,0.0,0.0,432.85,0.0,0.0,0.0,-432.85,4077.7300000000005,4077.73,False,True,1.0,2025-12,2026-06
2025-12,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,0.0,555.62,0.0,0.0,0.0,0.0,0.0,555.62,555.62,555.62,False,True,31.0,2025-12,2026-04
2026-01,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,555.62,0.0,0.0,16.19,0.0,0.0,0.0,-16.19,539.43,539.43,False,True,1.0,2025-12,2026-04
2026-02,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,539.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.43,539.43,False,False,0.0,2025-12,2026-04
2026-03,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,539.43,0.0,0.0,296.02,0.0,0.0,0.0,-296.02,243.41000000000003,243.40999999999997,False,True,1.0,2025-12,2026-04
2026-04,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,243.41000000000003,0.0,0.0,0.0,262.04,0.0,0.0,262.04,505.45000000000005,505.45000000000005,False,True,1.0,2025-12,2026-04
2026-05,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,505.45000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.45000000000005,505.45000000000005,False,False,0.0,2025-12,2026-04
2026-06,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,505.45000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.45000000000005,505.45000000000005,False,False,0.0,2025-12,2026-04
2025-12,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,0.0,2359.14,0.0,0.0,0.0,0.0,0.0,2359.14,2359.14,2359.14,False,True,129.0,2025-12,2026-05
2026-01,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2359.14,0.0,0.0,53.65,0.0,0.0,0.0,-53.65,2305.49,2305.49,False,True,1.0,2025-12,2026-05
2026-02,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2305.49,0.0,0.0,88.2,0.0,0.0,0.0,-88.2,2217.29,2217.29,False,True,1.0,2025-12,2026-05
2026-03,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2217.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.29,2217.29,False,False,0.0,2025-12,2026-05
2026-04,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2217.29,0.0,0.0,35.05,0.0,0.0,0.0,-35.05,2182.24,2182.24,False,True,1.0,2025-12,2026-05
2026-05,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2182.24,0.0,0.0,19.59,0.0,0.0,0.0,-19.59,2162.65,2162.6499999999996,False,True,1.0,2025-12,2026-05
2026-06,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2162.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.65,2162.65,False,False,0.0,2025-12,2026-05
2025-12,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,0.0,2568.92,0.0,0.0,0.0,0.0,0.0,2568.92,2568.92,2568.92,False,True,131.0,2025-12,2026-04
2026-01,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,2568.92,0.0,0.0,19.68,0.0,0.0,0.0,-19.68,2549.2400000000002,2549.2400000000002,False,True,1.0,2025-12,2026-04
2026-02,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,2549.2400000000002,0.0,0.0,19.11,0.0,0.0,0.0,-19.11,2530.13,2530.13,False,True,1.0,2025-12,2026-04
2026-03,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,2530.13,0.0,0.0,39.95,0.0,0.0,0.0,-39.95,2490.1800000000003,2490.1800000000003,False,True,1.0,2025-12,2026-04
