movement_date,movement_month,movement_type,document,reference,description,color_original,color_normalized,product_key,lot,roll,lotrol,location,qty_in,qty_out,net_qty,unit_of_measure,source_file,source_sheet,source_row,validation_status
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180029,001,21.2,0.0,21.2,KG,INVENTARIO 31122025.xlsx,COP,6,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180030,001,20.2,0.0,20.2,KG,INVENTARIO 31122025.xlsx,COP,7,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180031,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,8,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180032,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,9,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180033,001,20.6,0.0,20.6,KG,INVENTARIO 31122025.xlsx,COP,10,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180034,001,21.0,0.0,21.0,KG,INVENTARIO 31122025.xlsx,COP,11,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180035,001,20.2,0.0,20.2,KG,INVENTARIO 31122025.xlsx,COP,12,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180036,001,21.2,0.0,21.2,KG,INVENTARIO 31122025.xlsx,COP,13,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180045,001,20.6,0.0,20.6,KG,INVENTARIO 31122025.xlsx,COP,14,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180044,001,20.0,0.0,20.0,KG,INVENTARIO 31122025.xlsx,COP,15,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180043,001,20.2,0.0,20.2,KG,INVENTARIO 31122025.xlsx,COP,16,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180042,001,20.2,0.0,20.2,KG,INVENTARIO 31122025.xlsx,COP,17,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180041,001,20.0,0.0,20.0,KG,INVENTARIO 31122025.xlsx,COP,18,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180040,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,19,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180039,001,19.6,0.0,19.6,KG,INVENTARIO 31122025.xlsx,COP,20,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180038,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,21,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180037,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,22,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180046,001,20.0,0.0,20.0,KG,INVENTARIO 31122025.xlsx,COP,23,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710146,001,19.3,0.0,19.3,KG,INVENTARIO 31122025.xlsx,COP,24,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710147,001,19.1,0.0,19.1,KG,INVENTARIO 31122025.xlsx,COP,25,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710143,001,19.1,0.0,19.1,KG,INVENTARIO 31122025.xlsx,COP,26,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710121,001,19.6,0.0,19.6,KG,INVENTARIO 31122025.xlsx,COP,27,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710145,001,19.65,0.0,19.65,KG,INVENTARIO 31122025.xlsx,COP,28,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710148,001,19.5,0.0,19.5,KG,INVENTARIO 31122025.xlsx,COP,29,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710132,001,19.85,0.0,19.85,KG,INVENTARIO 31122025.xlsx,COP,30,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710134,001,19.55,0.0,19.55,KG,INVENTARIO 31122025.xlsx,COP,31,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710124,001,19.8,0.0,19.8,KG,INVENTARIO 31122025.xlsx,COP,32,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710127,001,19.65,0.0,19.65,KG,INVENTARIO 31122025.xlsx,COP,33,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710139,001,19.55,0.0,19.55,KG,INVENTARIO 31122025.xlsx,COP,34,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710128,001,19.7,0.0,19.7,KG,INVENTARIO 31122025.xlsx,COP,35,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710138,001,19.6,0.0,19.6,KG,INVENTARIO 31122025.xlsx,COP,36,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710123,001,19.6,0.0,19.6,KG,INVENTARIO 31122025.xlsx,COP,37,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710140,001,19.25,0.0,19.25,KG,INVENTARIO 31122025.xlsx,COP,38,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710122,001,19.65,0.0,19.65,KG,INVENTARIO 31122025.xlsx,COP,39,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,BLANCO,BLANCO,010101|BLANCO,,,772008710129,001,19.55,0.0,19.55,KG,INVENTARIO 31122025.xlsx,COP,40,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180009,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,41,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180008,001,20.4,0.0,20.4,KG,INVENTARIO 31122025.xlsx,COP,42,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180007,001,20.2,0.0,20.2,KG,INVENTARIO 31122025.xlsx,COP,43,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180006,001,20.6,0.0,20.6,KG,INVENTARIO 31122025.xlsx,COP,44,OK
2025-12-31,2025-12,OPENING_PHYSICAL_ROLL,INVENTARIO_31122025_COP,010101,PERUANA 200 GR,ARENA,ARENA,010101|ARENA,,,772009180005,001,20.8,0.0,20.8,KG,INVENTARIO 31122025.xlsx,COP,45,OK
