reference,description,color_normalized,product_key,opening_qty,movement_rows
010101,PERUANA 200 GR,ARENA,010101|ARENA,4195.07,221
010101,PERUANA 200 GR,AZUL M,010101|AZUL M,758.95,41
010101,PERUANA 200 GR,BLANCO,010101|BLANCO,6375.93,333
010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,555.62,31
010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,2359.14,129
010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,2568.92,131
010101,PERUANA 200 GR,COLONIAL BLUE,010101|COLONIAL BLUE,1643.4,86
010101,PERUANA 200 GR,INDIGO,010101|INDIGO,994.36,54
010101,PERUANA 200 GR,IVORY,010101|IVORY,3474.14,179
010101,PERUANA 200 GR,JASPE CLARO,010101|JASPE CLARO,557.9,30
010101,PERUANA 200 GR,JASPE OSCURO,010101|JASPE OSCURO,381.48,21
010101,PERUANA 200 GR,KAKY,010101|KAKY,1202.1,63
010101,PERUANA 200 GR,LILA,010101|LILA,184.1,9
010101,PERUANA 200 GR,NEGRO,010101|NEGRO,5066.81,251
010101,PERUANA 200 GR,PAPRIKA,010101|PAPRIKA,158.03,8
010101,PERUANA 200 GR,RATA,010101|RATA,2133.57,112
010101,PERUANA 200 GR,ROJO,010101|ROJO,1740.24,91
010101,PERUANA 200 GR,ROSADO,010101|ROSADO,17.6,1
010101,PERUANA 200 GR,ROSADO VIVO,010101|ROSADO VIVO,462.40000000000003,23
010101,PERUANA 200 GR,ROSE,010101|ROSE,115.28999999999999,6
010101,PERUANA 200 GR,TOFFE,010101|TOFFE,1000.21,51
010101,PERUANA 200 GR,TURQUI,010101|TURQUI,716.25,39
010101,PERUANA 200 GR,VERDE BOTELLA,010101|VERDE BOTELLA,481.94,25
010102,PERUANA 250 GR,ARENA,010102|ARENA,6911.27,374
010102,PERUANA 250 GR,AZUL M,010102|AZUL M,1796.34,94
010102,PERUANA 250 GR,BLANCO,010102|BLANCO,6960.45,372
010102,PERUANA 250 GR,BURGUNDY,010102|BURGUNDY,418.65,24
010102,PERUANA 250 GR,CAMEL,010102|CAMEL,3572.2200000000003,204
010102,PERUANA 250 GR,CEMENTO,010102|CEMENTO,4089.05,225
010102,PERUANA 250 GR,CHOCOLATE,010102|CHOCOLATE,2166.02,121
010102,PERUANA 250 GR,CIELO,010102|CIELO,89.6,5
010102,PERUANA 250 GR,COLONIAL BLUE,010102|COLONIAL BLUE,1002.6,57
010102,PERUANA 250 GR,INDIGO,010102|INDIGO,413.88,24
010102,PERUANA 250 GR,IVORY,010102|IVORY,9103.6,492
010102,PERUANA 250 GR,KAKY,010102|KAKY,1760.51,102
010102,PERUANA 250 GR,NEGRO,010102|NEGRO,21985.06,1197
010102,PERUANA 250 GR,PAPRIKA,010102|PAPRIKA,579.25,33
010102,PERUANA 250 GR,RATA,010102|RATA,1971.42,104
010102,PERUANA 250 GR,ROJO,010102|ROJO,2482.98,138
010102,PERUANA 250 GR,ROSADO VIVO,010102|ROSADO VIVO,217.4,12
010102,PERUANA 250 GR,TOFFE,010102|TOFFE,428.25,21
010102,PERUANA 250 GR,VERDE BOTELLA,010102|VERDE BOTELLA,1739.09,98
010103,PERUANA 230 GR,ROSADO VIVO,010103|ROSADO VIVO,21.1,1
010104,PERUANA 150 GR,ARENA,010104|ARENA,473.8,27
010104,PERUANA 150 GR,BLANCO,010104|BLANCO,542.59,28
010104,PERUANA 150 GR,CEMENTO,010104|CEMENTO,264.8,15
010104,PERUANA 150 GR,IVORY,010104|IVORY,880.3,49
010104,PERUANA 150 GR,KAKY,010104|KAKY,128.04,6
010104,PERUANA 150 GR,NEGRO,010104|NEGRO,2334.2599999999998,126
010104,PERUANA 150 GR,PAPRIKA,010104|PAPRIKA,177.71,9
010104,PERUANA 150 GR,RATA,010104|RATA,54.45,3
010104,PERUANA 150 GR,ROJO,010104|ROJO,660.08,39
010104,PERUANA 150 GR,TOFFE,010104|TOFFE,476.73,24
010104,PERUANA 150 GR,TURQUI,010104|TURQUI,385.05,22
010104,PERUANA 150 GR,VERDE MILITAR,010104|VERDE MILITAR,100.2,5
010105,PERUANA PIQUE LICRADO,AMARILLO MEDIO,010105|AMARILLO MEDIO,394.3,22
010105,PERUANA PIQUE LICRADO,ARENA,010105|ARENA,484.9,28
010105,PERUANA PIQUE LICRADO,AZUL M,010105|AZUL M,332.1,19
010105,PERUANA PIQUE LICRADO,BLANCO,010105|BLANCO,2578.5,144
010105,PERUANA PIQUE LICRADO,CEMENTO,010105|CEMENTO,444.55,26
010105,PERUANA PIQUE LICRADO,CIELO,010105|CIELO,344.05,19
010105,PERUANA PIQUE LICRADO,IVORY,010105|IVORY,144.05,8
010105,PERUANA PIQUE LICRADO,KAKY,010105|KAKY,433.35,25
010105,PERUANA PIQUE LICRADO,LILA,010105|LILA,366.0,20
010105,PERUANA PIQUE LICRADO,MENTA BEBE,010105|MENTA BEBE,271.85,15
010105,PERUANA PIQUE LICRADO,NEGRO,010105|NEGRO,2965.4,165
010105,PERUANA PIQUE LICRADO,PAPRIKA,010105|PAPRIKA,353.0,20
010105,PERUANA PIQUE LICRADO,PISTACHO,010105|PISTACHO,179.29999999999998,10
010105,PERUANA PIQUE LICRADO,RATA,010105|RATA,341.4,20
010105,PERUANA PIQUE LICRADO,ROJO,010105|ROJO,160.4,9
010105,PERUANA PIQUE LICRADO,ROSADO,010105|ROSADO,311.15,17
010105,PERUANA PIQUE LICRADO,VERDE BOTELLA,010105|VERDE BOTELLA,337.54,19
010105,PERUANA PIQUE LICRADO,VERDE MILITAR,010105|VERDE MILITAR,290.55,17
010106,PERUANA 310 GR,ARENA,010106|ARENA,739.75,44
010106,PERUANA 310 GR,BLANCO,010106|BLANCO,410.03000000000003,23
010106,PERUANA 310 GR,CHOCOLATE,010106|CHOCOLATE,189.8,11
010106,PERUANA 310 GR,IVORY,010106|IVORY,2005.29,114
010106,PERUANA 310 GR,KAKY,010106|KAKY,918.09,53
010106,PERUANA 310 GR,NEGRO,010106|NEGRO,3799.48,215
010106,PERUANA 310 GR,ROJO,010106|ROJO,16.46,1
010201,RIB PERUANO 200,ARENA,010201|ARENA,293.45,1
010201,RIB PERUANO 200,AZUL M,010201|AZUL M,15.7,1
010201,RIB PERUANO 200,BLANCO,010201|BLANCO,1151.6599999999999,1
010201,RIB PERUANO 200,BURGUNDY,010201|BURGUNDY,11.9,1
010201,RIB PERUANO 200,CEMENTO,010201|CEMENTO,87.14999999999999,1
010201,RIB PERUANO 200,CHOCOLATE,010201|CHOCOLATE,116.68,1
010201,RIB PERUANO 200,CIELO,010201|CIELO,2.5,1
010201,RIB PERUANO 200,COLONIAL BLUE,010201|COLONIAL BLUE,102.69999999999999,1
010201,RIB PERUANO 200,INDIGO,010201|INDIGO,4.1000000000000005,1
010201,RIB PERUANO 200,IVORY,010201|IVORY,297.89000000000004,1
010201,RIB PERUANO 200,KAKY,010201|KAKY,63.09999999999999,1
010201,RIB PERUANO 200,NEGRO,010201|NEGRO,1117.0500000000002,1
010201,RIB PERUANO 200,PAPRIKA,010201|PAPRIKA,11.3,1
010201,RIB PERUANO 200,RATA,010201|RATA,147.44,1
010201,RIB PERUANO 200,ROJO,010201|ROJO,103.36,1
010201,RIB PERUANO 200,ROSADO VIVO,010201|ROSADO VIVO,20.5,1
010201,RIB PERUANO 200,TOFFE,010201|TOFFE,23.1,1
010201,RIB PERUANO 200,TURQUI,010201|TURQUI,74.5,1
010201,RIB PERUANO 200,VERDE MILITAR,010201|VERDE MILITAR,20.8,1
010202,RIB PERUANO 250,ARENA,010202|ARENA,385.03000000000003,1
010202,RIB PERUANO 250,AZUL M,010202|AZUL M,126.8,1
010202,RIB PERUANO 250,BLANCO,010202|BLANCO,384.1,1
010202,RIB PERUANO 250,BURGUNDY,010202|BURGUNDY,25.92,1
010202,RIB PERUANO 250,CAMEL,010202|CAMEL,244.91,1
010202,RIB PERUANO 250,CEMENTO,010202|CEMENTO,267.21000000000004,1
010202,RIB PERUANO 250,CHOCOLATE,010202|CHOCOLATE,155.29000000000002,1
010202,RIB PERUANO 250,COLONIAL BLUE,010202|COLONIAL BLUE,61.099999999999994,1
010202,RIB PERUANO 250,INDIGO,010202|INDIGO,28.520000000000003,1
010202,RIB PERUANO 250,IVORY,010202|IVORY,617.6099999999999,1
010202,RIB PERUANO 250,KAKY,010202|KAKY,106.93,1
010202,RIB PERUANO 250,LILA,010202|LILA,2.6,1
010202,RIB PERUANO 250,NEGRO,010202|NEGRO,1557.2800000000007,1
010202,RIB PERUANO 250,PAPRIKA,010202|PAPRIKA,29.5,1
010202,RIB PERUANO 250,RATA,010202|RATA,96.80000000000001,1
010202,RIB PERUANO 250,ROJO,010202|ROJO,202.41,1
010202,RIB PERUANO 250,ROSADO VIVO,010202|ROSADO VIVO,17.8,1
010202,RIB PERUANO 250,TOFFE,010202|TOFFE,27.54,1
010202,RIB PERUANO 250,VERDE BOTELLA,010202|VERDE BOTELLA,95.15,1
010202,RIB PERUANO 250,VERDE MILITAR,010202|VERDE MILITAR,4.0,1
010204,RIB PERUANO 150,ARENA,010204|ARENA,47.75,1
010204,RIB PERUANO 150,BLANCO,010204|BLANCO,120.88,1
010204,RIB PERUANO 150,CEMENTO,010204|CEMENTO,19.3,1
010204,RIB PERUANO 150,IVORY,010204|IVORY,88.94,1
010204,RIB PERUANO 150,KAKY,010204|KAKY,2.9,1
010204,RIB PERUANO 150,NEGRO,010204|NEGRO,332.80999999999995,1
010204,RIB PERUANO 150,PAPRIKA,010204|PAPRIKA,15.5,1
010204,RIB PERUANO 150,RATA,010204|RATA,11.2,1
010204,RIB PERUANO 150,ROJO,010204|ROJO,105.94999999999999,1
010204,RIB PERUANO 150,STONE,010204|STONE,1.2,1
010204,RIB PERUANO 150,TOFFE,010204|TOFFE,22.8,1
010204,RIB PERUANO 150,TURQUI,010204|TURQUI,25.0,1
010204,RIB PERUANO 150,VERDE MILITAR,010204|VERDE MILITAR,12.8,1
010206,RIB PERUANO 310,ARENA,010206|ARENA,35.4,1
010206,RIB PERUANO 310,BLANCO,010206|BLANCO,52.599999999999994,1
010206,RIB PERUANO 310,CEMENTO,010206|CEMENTO,55.199999999999996,1
010206,RIB PERUANO 310,CHOCOLATE,010206|CHOCOLATE,28.1,1
010206,RIB PERUANO 310,IVORY,010206|IVORY,97.2,1
010206,RIB PERUANO 310,KAKY,010206|KAKY,40.6,1
010206,RIB PERUANO 310,NEGRO,010206|NEGRO,347.5400000000001,1
010206,RIB PERUANO 310,ROJO,010206|ROJO,4.3,1
010301,CUELLO S-M + PUNO,AMARILLO MEDIO,010301|AMARILLO MEDIO,537.0,1
010301,CUELLO S-M + PUNO,ARENA,010301|ARENA,2810.0,1
010301,CUELLO S-M + PUNO,AZUL M,010301|AZUL M,1177.0,1
010301,CUELLO S-M + PUNO,BLANCO,010301|BLANCO,6675.0,1
010301,CUELLO S-M + PUNO,CEMENTO,010301|CEMENTO,1281.0,1
