reference,color_normalized,product_key,descriptions,first_movement_date,last_movement_date,total_qty_in,total_qty_out,current_net_qty,movement_rows,sources
010101,ARENA,010101|ARENA,PERUANA 200 GR,2025-12-31,2026-06-30,4195.07,1028.1399999999999,3166.93,227,opening | sales
010101,AZUL M,010101|AZUL M,PERUANA 200 GR,2025-12-31,2026-06-30,1206.35,618.61,587.74,70,opening | receipts | sales
010101,BLANCO,010101|BLANCO,PERUANA 200 GR,2025-12-31,2026-06-30,7305.03,3227.3,4077.73,385,opening | receipts | sales
010101,BURGUNDY,010101|BURGUNDY,PERUANA 200 GR,2025-12-31,2026-04-30,817.6600000000001,312.21,505.45000000000005,34,opening | sales
010101,CEMENTO,010101|CEMENTO,PERUANA 200 GR,2025-12-31,2026-05-31,2359.14,196.49,2162.65,133,opening | sales
010101,CHOCOLATE,010101|CHOCOLATE,PERUANA 200 GR,2025-12-31,2026-04-30,2568.92,97.7,2471.22,135,opening | sales
010101,COLONIAL BLUE,010101|COLONIAL BLUE,PERUANA 200 GR,2025-12-31,2026-06-30,1643.4,435.6,1207.8,91,opening | sales
010101,INDIGO,010101|INDIGO,PERUANA 200 GR,2025-12-31,2026-06-30,994.36,165.34,829.02,60,opening | sales
010101,IVORY,010101|IVORY,PERUANA 200 GR,2025-12-31,2026-06-30,6659.54,3572.41,3087.13,344,opening | receipts | sales
010101,JASPE CLARO,010101|JASPE CLARO,PERUANA 200 GR,2025-12-31,2025-12-31,557.9,0.0,557.9,30,opening
010101,JASPE OSCURO,010101|JASPE OSCURO,PERUANA 200 GR,2025-12-31,2026-03-31,381.48,18.8,362.68,22,opening | sales
010101,KAKY,010101|KAKY,PERUANA 200 GR,2025-12-31,2026-06-30,2535.5,638.8,1896.7,137,opening | receipts | sales
010101,LILA,010101|LILA,PERUANA 200 GR,2025-12-31,2026-06-30,184.1,162.9,21.19999999999999,12,opening | sales
010101,NEGRO,010101|NEGRO,PERUANA 200 GR,2025-12-31,2026-06-30,15948.91,13963.57,1985.3399999999997,783,opening | receipts | sales
010101,PAPRIKA,010101|PAPRIKA,PERUANA 200 GR,2025-12-31,2026-03-31,159.03,134.93,24.099999999999994,11,opening | sales
010101,RATA,010101|RATA,PERUANA 200 GR,2025-12-31,2026-05-31,2133.57,256.75,1876.82,117,opening | sales
010101,ROJO,010101|ROJO,PERUANA 200 GR,2025-12-31,2026-06-30,2579.16,1873.88,705.28,140,opening | receipts | sales
010101,ROSADO,010101|ROSADO,PERUANA 200 GR,2025-12-31,2025-12-31,17.6,0.0,17.6,1,opening
010101,ROSADO VIVO,010101|ROSADO VIVO,PERUANA 200 GR,2025-12-31,2026-06-30,462.40000000000003,188.6,273.8,27,opening | sales
010101,ROSE,010101|ROSE,PERUANA 200 GR,2025-12-31,2026-05-31,115.28999999999999,38.88,76.41,8,opening | sales
010101,TOFFE,010101|TOFFE,PERUANA 200 GR,2025-12-31,2026-03-31,1000.21,18.89,981.3199999999999,52,opening | sales
010101,TURQUI,010101|TURQUI,PERUANA 200 GR,2025-12-31,2026-04-30,716.25,716.25,1.4210854715202004e-14,43,opening | sales
010101,VERDE BOTELLA,010101|VERDE BOTELLA,PERUANA 200 GR,2025-12-31,2026-06-30,939.19,1076.49,-137.3,52,opening | receipts | sales
010102,ARENA,010102|ARENA,PERUANA 250 GR,2025-12-31,2026-06-30,7028.64,2184.67,4843.97,380,opening | sales
