movement_month,reference,description,color_normalized,product_key,receipt_qty,receipt_rows,unique_lotrols
2026-01,070101,TELA QATAR PREMIUM,ARENA,070101|ARENA,817.3,34,34
2026-01,070101,TELA QATAR PREMIUM,AZUL M,070101|AZUL M,527.5,22,22
2026-01,070101,TELA QATAR PREMIUM,BLANCO,070101|BLANCO,3124.4,120,120
2026-01,070101,TELA QATAR PREMIUM,CAMEL,070101|CAMEL,1578.9,60,60
2026-01,070101,TELA QATAR PREMIUM,CEMENTO,070101|CEMENTO,808.8,34,34
2026-01,070101,TELA QATAR PREMIUM,CHOCOLATE,070101|CHOCOLATE,806.7,34,34
2026-01,070101,TELA QATAR PREMIUM,IVORY,070101|IVORY,3060.0,119,119
2026-01,070101,TELA QATAR PREMIUM,KAKY,070101|KAKY,1503.3,60,60
2026-01,070101,TELA QATAR PREMIUM,NEGRO,070101|NEGRO,6674.1,250,250
2026-01,070101,TELA QATAR PREMIUM,PALO DE ROSA,070101|PALO DE ROSA,831.3,35,35
2026-01,070101,TELA QATAR PREMIUM,RATA,070101|RATA,784.3,34,34
2026-01,070101,TELA QATAR PREMIUM,ROJO,070101|ROJO,545.7,22,22
2026-01,070101,TELA QATAR PREMIUM,VERDE BOTELLA,070101|VERDE BOTELLA,839.55,34,34
2026-01,070101,TELA QATAR PREMIUM,VERDE SECO,070101|VERDE SECO,786.6,34,34
2026-01,070102,RIB QATAR PREMIUM,ARENA,070102|ARENA,55.4,1,1
2026-01,070102,RIB QATAR PREMIUM,AZUL M,070102|AZUL M,26.0,1,1
2026-01,070102,RIB QATAR PREMIUM,BLANCO,070102|BLANCO,165.8,1,1
2026-01,070102,RIB QATAR PREMIUM,CAMEL,070102|CAMEL,91.3,1,1
2026-01,070102,RIB QATAR PREMIUM,CEMENTO,070102|CEMENTO,55.8,1,1
2026-01,070102,RIB QATAR PREMIUM,CHOCOLATE,070102|CHOCOLATE,48.8,1,1
2026-01,070102,RIB QATAR PREMIUM,IVORY,070102|IVORY,168.4,1,1
2026-01,070102,RIB QATAR PREMIUM,KAKY,070102|KAKY,96.3,1,1
2026-01,070102,RIB QATAR PREMIUM,NEGRO,070102|NEGRO,344.0,1,1
2026-01,070102,RIB QATAR PREMIUM,PALO DE ROSA,070102|PALO DE ROSA,56.4,1,1
2026-01,070102,RIB QATAR PREMIUM,RATA,070102|RATA,52.0,1,1
2026-01,070102,RIB QATAR PREMIUM,ROJO,070102|ROJO,37.4,1,1
2026-01,070102,RIB QATAR PREMIUM,VERDE BOTELLA,070102|VERDE BOTELLA,46.9,1,1
2026-01,070102,RIB QATAR PREMIUM,VERDE SECO,070102|VERDE SECO,56.0,1,1
2026-02,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,447.4,23,23
2026-02,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,929.1,46,46
2026-02,010101,PERUANA 200 GR,IVORY,010101|IVORY,3185.4,159,159
2026-02,010101,PERUANA 200 GR,KAKY,010101|KAKY,1333.4,68,68
2026-02,010101,PERUANA 200 GR,NEGRO,010101|NEGRO,4449.1,215,215
2026-02,010101,PERUANA 200 GR,ROJO,010101|ROJO,838.92,43,43
2026-02,010101,PERUANA 200 GR,VERDE BOTELLA,010101|VERDE BOTELLA,457.25,23,23
2026-02,010105,PERUANA PIQUE LICRADO,TURQUI,010105|TURQUI,762.9000000000001,44,44
2026-02,010106,PERUANA 310 GR,ARENA,010106|ARENA,169.81,9,9
2026-02,010106,PERUANA 310 GR,CEMENTO,010106|CEMENTO,168.15,9,9
2026-02,010106,PERUANA 310 GR,CHOCOLATE,010106|CHOCOLATE,178.89,9,9
2026-02,010106,PERUANA 310 GR,IVORY,010106|IVORY,1279.55,73,73
2026-02,010201,REEB PERUANA 200 GR,AZUL M,010201|AZUL M,27.15,1,1
2026-02,010201,REEB PERUANA 200 GR,BLANCO,010201|BLANCO,55.4,1,1
2026-02,010201,REEB PERUANA 200 GR,IVORY,010201|IVORY,192.25,1,1
2026-02,010201,REEB PERUANA 200 GR,KAKY,010201|KAKY,78.45,1,1
2026-02,010201,REEB PERUANA 200 GR,NEGRO,010201|NEGRO,321.1,1,1
2026-02,010201,REEB PERUANA 200 GR,ROJO,010201|ROJO,53.42,1,1
2026-02,010201,REEB PERUANA 200 GR,VERDE BOTELLA,010201|VERDE BOTELLA,26.8,1,1
2026-02,010206,REEB PERUANA 310 GR,ARENA,010206|ARENA,8.9,1,1
2026-02,010206,REEB PERUANA 310 GR,CEMENTO,010206|CEMENTO,7.89,1,1
2026-02,010206,REEB PERUANA 310 GR,CHOCOLATE,010206|CHOCOLATE,7.0,1,1
2026-02,010206,REEB PERUANA 310 GR,IVORY,010206|IVORY,71.35,1,1
2026-02,010301,"CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",TURQUI,010301|TURQUI,1335.0,1,1
2026-02,010302,"CUELLO L-XL 42X8,5 + PUNO 37,5X3,5 +",TURQUI,010302|TURQUI,1335.0,1,1
2026-02,020102,LICRA FRIA 240 GR,ARENA,020102|ARENA,1383.7,60,60
2026-02,020102,LICRA FRIA 240 GR,BLANCO,020102|BLANCO,3300.2,142,142
2026-02,020102,LICRA FRIA 240 GR,CEMENTO,020102|CEMENTO,1868.1,82,82
2026-02,020102,LICRA FRIA 240 GR,CHOCOLATE,020102|CHOCOLATE,1436.7,61,61
2026-02,020102,LICRA FRIA 240 GR,INDIGO,020102|INDIGO,491.7,21,21
2026-02,020102,LICRA FRIA 240 GR,IVORY,020102|IVORY,2735.6,120,120
2026-02,020102,LICRA FRIA 240 GR,KAKY,020102|KAKY,1926.8,83,83
2026-02,020102,LICRA FRIA 240 GR,NEGRO,020102|NEGRO,6671.4,280,280
2026-02,020102,LICRA FRIA 240 GR,PALO DE ROSA,020102|PALO DE ROSA,477.9,21,21
2026-02,020102,LICRA FRIA 240 GR,RATA,020102|RATA,972.5,42,42
2026-02,020102,LICRA FRIA 240 GR,ROJO,020102|ROJO,996.1,43,43
2026-02,020202,REEB LICRA FRIA 240 GR,ARENA,020202|ARENA,73.4,1,1
2026-02,020202,REEB LICRA FRIA 240 GR,BLANCO,020202|BLANCO,152.5,1,1
2026-02,020202,REEB LICRA FRIA 240 GR,CEMENTO,020202|CEMENTO,108.7,1,1
2026-02,020202,REEB LICRA FRIA 240 GR,CHOCOLATE,020202|CHOCOLATE,76.9,1,1
2026-02,020202,REEB LICRA FRIA 240 GR,INDIGO,020202|INDIGO,26.0,1,1
2026-02,020202,REEB LICRA FRIA 240 GR,IVORY,020202|IVORY,150.0,1,1
