movement_month,reference,description,color_normalized,product_key,sales_qty,returns_adjustments_qty,net_qty,movement_rows,subtotal
2026-01,010101,PERUANA 200 GR,ARENA,010101|ARENA,117.74,0.0,-117.74,1,5110198.0
2026-01,010101,PERUANA 200 GR,AZUL M,010101|AZUL M,104.6,0.0,-104.6,1,7532675.0
2026-01,010101,PERUANA 200 GR,BLANCO,010101|BLANCO,322.45,0.0,-322.45,1,19363203.0
2026-01,010101,PERUANA 200 GR,BURGUNDY,010101|BURGUNDY,16.19,0.0,-16.19,1,1792750.0
2026-01,010101,PERUANA 200 GR,CEMENTO,010101|CEMENTO,53.65,0.0,-53.65,1,2243116.0
2026-01,010101,PERUANA 200 GR,CHOCOLATE,010101|CHOCOLATE,19.68,0.0,-19.68,1,578828.0
2026-01,010101,PERUANA 200 GR,COLONIAL BLUE,010101|COLONIAL BLUE,18.2,0.0,-18.2,1,779997.0
2026-01,010101,PERUANA 200 GR,INDIGO,010101|INDIGO,21.39,0.0,-21.39,1,916711.0
2026-01,010101,PERUANA 200 GR,IVORY,010101|IVORY,40.45,0.0,-40.45,1,21090774.0
2026-01,010101,PERUANA 200 GR,KAKY,010101|KAKY,38.54,0.0,-38.54,1,1488489.0
2026-01,010101,PERUANA 200 GR,LILA,010101|LILA,80.9,0.0,-80.9,1,3772677.0
2026-01,010101,PERUANA 200 GR,NEGRO,010101|NEGRO,1581.2,0.0,-1581.2,1,89670933.0
2026-01,010101,PERUANA 200 GR,PAPRIKA,010101|PAPRIKA,19.79,0.0,-19.79,1,881407.0
2026-01,010101,PERUANA 200 GR,RATA,010101|RATA,58.6,0.0,-58.6,1,2511420.0
2026-01,010101,PERUANA 200 GR,ROJO,010101|ROJO,172.57,0.0,-172.57,1,8752963.0
2026-01,010101,PERUANA 200 GR,ROSADO VIVO,010101|ROSADO VIVO,62.0,0.0,-62.0,1,2657134.0
2026-01,010101,PERUANA 200 GR,TURQUI,010101|TURQUI,118.6,0.0,-118.6,1,5015557.0
2026-01,010101,PERUANA 200 GR,VERDE BOTELLA,010101|VERDE BOTELLA,481.94,0.0,-481.94,1,23084452.0
2026-01,010102,PERUANA 250 GR,ARENA,010102|ARENA,345.81,0.0,-345.81,1,14461649.0
2026-01,010102,PERUANA 250 GR,AZUL M,010102|AZUL M,152.22,0.0,-152.22,1,6471659.0
2026-01,010102,PERUANA 250 GR,BLANCO,010102|BLANCO,958.29,0.0,-958.29,1,39593824.0
2026-01,010102,PERUANA 250 GR,BURGUNDY,010102|BURGUNDY,17.95,0.0,-17.95,1,527945.0
2026-01,010102,PERUANA 250 GR,CEMENTO,010102|CEMENTO,209.39,0.0,-209.39,1,8118055.0
2026-01,010102,PERUANA 250 GR,CHOCOLATE,010102|CHOCOLATE,91.73,0.0,-91.73,1,3436093.0
2026-01,010102,PERUANA 250 GR,CIELO,010102|CIELO,16.9,0.0,-16.9,1,809493.0
2026-01,010102,PERUANA 250 GR,COLONIAL BLUE,010102|COLONIAL BLUE,71.0,0.0,-71.0,1,3057799.0
2026-01,010102,PERUANA 250 GR,INDIGO,010102|INDIGO,115.15,0.0,-115.15,1,4469385.0
2026-01,010102,PERUANA 250 GR,IVORY,010102|IVORY,1124.0,0.0,-1124.0,1,47107123.0
2026-01,010102,PERUANA 250 GR,KAKY,010102|KAKY,139.65,0.0,-139.65,1,5562316.0
2026-01,010102,PERUANA 250 GR,NEGRO,010102|NEGRO,2763.61,0.0,-2763.61,1,116424554.0
2026-01,010102,PERUANA 250 GR,RATA,010102|RATA,95.23,0.0,-95.23,1,4236662.0
2026-01,010102,PERUANA 250 GR,ROJO,010102|ROJO,270.09,0.0,-270.09,1,10712418.0
2026-01,010102,PERUANA 250 GR,ROSADO VIVO,010102|ROSADO VIVO,73.8,0.0,-73.8,1,3348392.0
2026-01,010102,PERUANA 250 GR,TOFFE,010102|TOFFE,61.05,0.0,-61.05,1,2616420.0
2026-01,010102,PERUANA 250 GR,VERDE BOTELLA,010102|VERDE BOTELLA,228.82,0.0,-228.82,1,9460744.0
2026-01,010104,PERUANA 150 GR,ARENA,010104|ARENA,26.55,0.0,-26.55,1,1271718.0
2026-01,010104,PERUANA 150 GR,BLANCO,010104|BLANCO,99.34,0.0,-99.34,1,4252124.0
2026-01,010104,PERUANA 150 GR,IVORY,010104|IVORY,34.75,0.0,-34.75,1,1664490.0
2026-01,010104,PERUANA 150 GR,KAKY,010104|KAKY,29.29,0.0,-29.29,1,1402962.0
2026-01,010104,PERUANA 150 GR,NEGRO,010104|NEGRO,195.7,0.0,-195.7,1,6597088.0
2026-01,010104,PERUANA 150 GR,PAPRIKA,010104|PAPRIKA,1.0,0.0,-1.0,1,42857.0
2026-01,010104,PERUANA 150 GR,ROJO,010104|ROJO,26.22,0.0,-26.22,1,1255912.0
2026-01,010105,PERUANA PIQUE LICRADO,BLANCO,010105|BLANCO,71.6,0.0,-71.6,1,4194201.0
