movement_month,movement_source,movement_type,movement_rows,qty_in,qty_out,net_qty
2025-12,opening,OPENING_PHYSICAL_ROLL,9307,181071.82,0.0,181071.82
2025-12,opening,OPENING_RIB_COLLAR_AGG,145,67187.51,0.0,67187.51
2026-01,receipts,CONTAINER_RECEIPT,906,23988.95,0.0,23988.95
2026-01,sales,SALE,185,0.0,28823.829999999998,-28823.829999999998
2026-02,receipts,CONTAINER_RECEIPT,1880,44894.65,0.0,44894.65
2026-02,sales,SALE,194,0.0,43041.2,-43041.2
2026-02,sales,SALES_RETURN_OR_ADJUSTMENT,13,340.5,0.0,340.5
2026-03,receipts,CONTAINER_RECEIPT,3515,79765.18000000001,0.0,79765.18000000001
2026-03,sales,SALE,224,0.0,35901.0,-35901.0
2026-03,sales,SALES_RETURN_OR_ADJUSTMENT,14,1165.03,0.0,1165.03
2026-04,receipts,CONTAINER_RECEIPT,750,15297.99,0.0,15297.99
2026-04,sales,SALE,232,0.0,41576.659999999996,-41576.659999999996
2026-04,sales,SALES_RETURN_OR_ADJUSTMENT,6,544.72,0.0,544.72
2026-05,receipts,CONTAINER_RECEIPT,952,23092.7,0.0,23092.7
2026-05,sales,SALE,230,0.0,51416.729999999996,-51416.729999999996
2026-05,sales,SALES_RETURN_OR_ADJUSTMENT,19,454.36,0.0,454.36
2026-06,receipts,CONTAINER_RECEIPT,935,23287.5,0.0,23287.5
2026-06,sales,SALE,169,0.0,28969.65,-28969.65
2026-06,sales,SALES_RETURN_OR_ADJUSTMENT,6,178.5,0.0,178.5
