lotrol,ibum_id,container_key,duplicate_occurrences,duplicate_occurrence_number,should_count_in_inventory,duplicate_qty_excluded,excluded_duplicate_qty,duplicated_total_qty,files,movement_date,movement_month,reference,description,color_code,color_original,color_normalized,product_key,lot,roll,qty_in,source_file,source_sheet,source_row
772009790001,47026,47026,2,1,True,0.0,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0001,24.2,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,696
772009790001,48150,48150,2,2,False,24.2,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0001,24.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,754
772009790002,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0002,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,697
772009790002,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0002,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,755
772009790003,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0003,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,698
772009790003,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0003,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,756
772009790004,47026,47026,2,1,True,0.0,25.5,51.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0004,25.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,699
772009790004,48150,48150,2,2,False,25.5,25.5,51.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0004,25.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,757
772009790005,47026,47026,2,1,True,0.0,20.3,40.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0005,20.3,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,700
772009790005,48150,48150,2,2,False,20.3,20.3,40.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0005,20.3,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,758
772009790006,47026,47026,2,1,True,0.0,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0006,24.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,701
772009790006,48150,48150,2,2,False,24.5,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0006,24.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,759
772009790007,47026,47026,2,1,True,0.0,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0007,24.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,702
772009790007,48150,48150,2,2,False,24.6,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0007,24.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,760
772009790008,47026,47026,2,1,True,0.0,23.4,46.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0008,23.4,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,703
772009790008,48150,48150,2,2,False,23.4,23.4,46.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0008,23.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,761
772009790011,47026,47026,2,1,True,0.0,26.3,52.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0011,26.3,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,706
772009790011,48150,48150,2,2,False,26.3,26.3,52.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0011,26.3,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,762
772009790012,47026,47026,2,1,True,0.0,22.9,45.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0012,22.9,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,707
772009790012,48150,48150,2,2,False,22.9,22.9,45.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0012,22.9,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,763
772009790014,47026,47026,2,1,True,0.0,23.6,47.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0014,23.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,709
